date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:04:38	209/209	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Sep%202020%2017:04:40%20GMT	https://dlcordapp.com/robots.txt		(from )
20:04:39	9623/9623	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2017:04:40%20GMT	https://dlcordapp.com/	C:/My%20Web%20Sites/ewqwq/dlcordapp.com/index.html	(from )
20:04:39	141354/141354	---M--	200	added ('OK')	text/css	etag:W/%2201cd02a5b603ecc8d91e28dfc4341711%22	https://code.getmdl.io/1.3.0/material.blue_grey-blue.min.css	C:/My%20Web%20Sites/ewqwq/code.getmdl.io/1.3.0/material.blue_grey-blue.min.css	(from https://dlcordapp.com/)
20:04:40	6138/6138	---M-Z	200	added ('OK')	text/css	etag:W/%221598310914.0-6138-2087389625%22	https://dlcordapp.com/static/normalize.css	C:/My%20Web%20Sites/ewqwq/dlcordapp.com/static/normalize.css	(from https://dlcordapp.com/)
20:04:41	8718/8718	---M-Z	200	added ('OK')	text/css	etag:W/%221598310914.0-8718-2776501016%22	https://dlcordapp.com/static/milligram.min.css	C:/My%20Web%20Sites/ewqwq/dlcordapp.com/static/milligram.min.css	(from https://dlcordapp.com/)
20:04:41	13510/13510	---M-Z	200	added ('OK')	text/css	etag:W/%221598310914.0-13510-1471350809%22	https://dlcordapp.com/static/style.css	C:/My%20Web%20Sites/ewqwq/dlcordapp.com/static/style.css	(from https://dlcordapp.com/)
20:04:42	232/232	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Sep%202020%2017:04:43%20GMT	https://dlcordapp.com/static/favicon.png	C:/My%20Web%20Sites/ewqwq/dlcordapp.com/static/favicon.4.delayed	(from https://dlcordapp.com/)
20:04:42	62491/62491	---M-Z	200	added ('OK')	application/javascript	etag:W/%221598310914.0-62491-2401503805%22	https://dlcordapp.com/static/material.min.js	C:/My%20Web%20Sites/ewqwq/dlcordapp.com/static/material.min.js	(from https://dlcordapp.com/)
20:04:43	1468/1468	---M-Z	200	added ('OK')	application/javascript	etag:W/%221598310914.0-1468-1190332193%22	https://dlcordapp.com/static/main.js	C:/My%20Web%20Sites/ewqwq/dlcordapp.com/static/main.js	(from https://dlcordapp.com/)
20:04:44	232/232	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Sep%202020%2017:04:45%20GMT	https://dlcordapp.com/assets/img/D31A1523.png	C:/My%20Web%20Sites/ewqwq/dlcordapp.com/assets/img/D31A1523.7.delayed	(from https://dlcordapp.com/static/style.css)
20:04:45	94041/94041	---M--	200	added ('OK')	image/jpeg	date:Mon,%2007%20Sep%202020%2017:04:45%20GMT	https://raw.githubusercontent.com/google/material-design-lite/mdl-1.x/templates/blog/images/shopping.jpg	C:/My%20Web%20Sites/ewqwq/raw.githubusercontent.com/google/material-design-lite/mdl-1.x/templates/blog/images/shopping.jpg	(from https://dlcordapp.com/static/style.css)
20:04:45	232/232	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Sep%202020%2017:04:46%20GMT	https://dlcordapp.com/assets/img/Asset4-144.png	C:/My%20Web%20Sites/ewqwq/dlcordapp.com/assets/img/Asset4-144.9.delayed	(from https://dlcordapp.com/static/style.css)
20:04:46	31120/31120	---M--	200	added ('OK')	image/png	etag:%221598310914.0-31120-89001443%22	https://dlcordapp.com/static/img/GitHub_Logo_White.png	C:/My%20Web%20Sites/ewqwq/dlcordapp.com/static/img/GitHub_Logo_White.png	(from https://dlcordapp.com/static/style.css)
